Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
R2;403;1076;CESNJICA - SKOFJA LOKA;0;15.700;618;Bukovica;QLD6; ;5.204;48;4.611;39;286;75;101;23;21
R2;404;1379;PODGRAD - IL.BISTRICA;0;11.000;397;Recica;QLD6; ;3.344;25;2.898;14;166;39;39;40;123
R2;404;1380;IL.BISTRICA - PIVKA;0;16.942;398;Knezak;QLD3; ;4.136;41;3.756;31;193;53;43;5;14
R2;405;6845;DIVACA - FAMLJE;0;5.552;59;Vremski Britof 1;ROCNO;05x4;2.200;16;1.946;8;110;50;35;10;25
R2;405;1022;FAMLJE - RIBNICA;0;11.967;210;Buje;QLD; ;1.228;13;1.055;2;71;21;30;14;22
R2;406;1405;DEKANI  -  R.SKOFIJE;0;1.085;;;P;;4.000;20;3.885;2;25;50;15;1;2
R2;406;1407;R.SKOFIJE - KRIZ.MORETINI;0;850;;;P;;5.200;70;4.783;30;250;45;20;1;1
R2;406;1407;KRIZ.MORETINI - ANKARAN;850;5.130;403;Ankaran;QLD3; ;8.426;52;8.007;31;260;50;20;2;4
R2;406;1407;ANKARAN - MP LAZARET;5.130;8.188;650;MP Lazaret;QLD5; ;1.534;81;1.396;19;20;13;3;0;2
R2;407;1144;GORENJA VAS - LUCINE;0;9.000;263;Todraz;ROCNO;08x4;950;10;809;7;56;15;46;3;4
R2;407;1144;LUCINE - LJUBLJANICA;9.000;13.926;;;P;;250;2;227;5;10;1;5;0;0
R2;407;1145;LJUBLJANICA - VRZDENEC;0;3.800;;;P;;200;5;179;3;8;4;1;0;0
R2;407;1145;VRZDENEC - HORJUL;3.800;6.800;;;P;;1.400;10;1.275;10;65;30;8;1;1
R2;407;1145;HORJUL - VRHNIKA;6.800;14.867;264;Horjul;QLD3; ;1.915;14;1.664;3;128;50;39;7;10
R2;408;1374;LOGATEC - ROVTE;0;10.500;;;P;;1.700;25;1.455;15;130;30;25;10;10
R2;408;1374;ROVTE -  ZIRI;10.500;21.351;370;Zavratec;QLD5; ;784;26;636;6;48;27;23;9;9
R2;408;1375;ZIRI - TREBIJA;0;7.350;394;Ziri;QLTC8; ;3.443;66;3.023;25;229;45;39;8;8
R2;409;0358;LJ(VIC) - AC BREZOVICA;0;2.741;165;Gorjanc;QLTC8; ;11.416;92;10.186;229;707;84;67;15;36
R2;409;0300;AC BREZOVICA - BREZOVICA;0;1.400;267;Brezovica;QLD6; ;20.749;140;18.397;222;1.152;277;307;94;160
R2;409;0300;BREZOVICA - VRHNIKA;1.400;13.161;611;Drenov Gric;QLTC8; ;7.658;116;6.388;113;515;196;166;55;109
R2;409;0301;VRHNIKA - LOGATEC;0;9.525;153;Zapolje;QLD6; ;6.435;163;5.257;103;417;142;205;64;84
R2;409;0302;LOGATEC ;0;900;;;P;;8.500;160;7.395;120;450;150;110;55;60
R2;409;0303;KALCE - PLANINA;0;8.337;736;Grcarevec;ROCNO;09x4;2.160;201;1.701;39;95;76;11;10;27
R2;409;0304;PLANINA - RAVBARKOMANDA;0;7.230;612;Ravbarkomanda;QLD6; ;2.059;169;1.667;28;94;39;35;12;15
R2;409;0305;RAVBARKOMANDA - PO(R913);0;3.000;;;P;;5.500;130;5.010;35;140;90;55;15;25
R2;409;0305;PO(R913) - POSTOJNA;3.000;4.360;;;P;;11.500;130;10.640;45;340;160;100;35;50
R2;409;0306;POSTOJNA - RAZDRTO;0;10.980;76;Postojna;QLD6; ;5.426;152;4.462;52;232;85;136;100;207
R2;409;0307;RAZDRTO - SENOZECE;0;6.530;22;Senozece;ROCNO;08x1;2.800;70;2.262;48;95;100;120;35;70
R2;409;0308;SENOZECE - DIVACA;0;8.140;77;Divaca;QLD; ;1.587;72;1.248;19;82;47;82;13;24
R2;409;0309;DIVACA - MATAVUN;0;1.940;684;Skocjan;QLD; ;2.455;162;1.855;30;230;74;80;9;15
R2;409;0310;MATAVUN - KOZINA;0;7.275;78;Kacice;ROCNO;05x4;2.300;120;1.810;40;150;70;90;5;15
R2;409;0311;KOZINA  -  KASTELEC;0;8.960;614;Petrinje;QLD6; ;1.551;119;1.130;26;84;65;103;7;17
R2;409;0312;KASTELEC - CRNI KAL;0;3.902;;;P;;1.000;60;652;25;80;65;90;8;20
R2;409;1435;KORTINE  -  RIZANA;0;1.353;;;P;;1.500;50;1.143;10;90;60;100;7;40
R2;409;0313;RIZANA - KRIZ.DEKANI;0;5.910;79;Dekani;QLD; ;3.767;48;3.166;20;221;54;213;2;43
R2;409;1438;DEKANI - PRIKLJ. SRMIN;0;324;;;P;;5.900;65;5.330;15;200;45;190;10;45
