Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R1;208;1060;GRACISCE - SOCERGA;0;5.000;151;Gracisce;R 08x1;2.550;65;2.310;10;140;15;5;3;2;13;PLDP
R1;208;1060;SOCERGA  -  MP  SOCERGA;5.000;8.453;502;MP Socerga;QLD*;1.840;64;1.610;5;145;8;3;3;2;8;PLDP
R1;208;1149;RIZANA - KORTINE;0;1.950;771;Kortine;R 10x4;1.950;55;1.683;15;160;20;15;1;1;19;PLDP
R1;209;1088;LESCE - BLED;0;3.604;109;Bled;QLTC8;19.563;218;17.429;243;1.370;110;91;27;75;399;WIM
R1;209;1089;BLED - PRISTAVA;0;2.200;190;Bled jezero;QLD*;7.389;174;6.314;134;613;54;36;19;45;126;PLDP
R1;209;1089;PRISTAVA - SOTESKA;2.200;10.530;110;Bohinjska Bela;QLD6;4.260;87;3.674;53;335;27;34;20;30;76;PLDP
R1;209;1090;SOTESKA - BITNJE;0;8.510;930;Nomenj;QLTC10;4.100;88;3.487;50;357;35;28;16;39;77;PLDP
R1;209;1091;BITNJE - BOH.BISTRICA;0;1.340;;;P;3.400;85;2.935;60;250;25;25;10;10;56;PLDP
R1;209;1092;BOH.BISTRICA - JEZERO;0;6.200;255;Ribcev Laz;QLD6;2.911;88;2.508;62;210;16;14;8;5;45;PLDP
R1;210;1105;MP ZG.JEZERSKO - ZG.JEZERSKO;0;6.850;661;MT Jezersko;QLD5;336;76;222;1;14;10;8;5;0;10;PLDP
R1;210;1105;ZG.JEZERSKO - SP.JEZERSKO;6.850;10.345;;;P;910;75;788;10;15;10;10;1;1;13;PLDP
R1;210;1106;SP. JEZERSKO - PREDDVOR;0;15.585;242;Kokra;QLD5;1.154;79;989;13;16;19;28;3;7;27;WIM
R1;210;1107;PREDDVOR - KR(PRIMSKOVO);0;8.440;249;Visoko;QLTC10;6.067;118;5.430;36;374;36;42;13;18;57;DIST
R1;210;1108;KR(PRIMSKOVO - LABORE);0;2.600;244;KR Primskovo 2;QLTC8;18.211;79;16.395;28;1.125;166;129;70;219;261;DIST
R1;210;1109;KRANJ - SKOFJA LOKA;0;8.125;111;Dorfarje;QLTC8;13.022;99;11.412;73;961;148;121;80;128;359;WIM
R1;210;1392;OBVOZNICA SKOFJA LOKA;0;3.865;924;SKL Obvoznica;QLTC10;8.347;75;7.308;22;647;113;86;46;50;135;PLDP
R1;210;1110;SK.LOKA - GORENJA VAS;0;13.074;112;Log;QLD*;7.098;86;6.185;44;551;91;74;32;35;123;WIM
R1;210;1111;GORENJA VAS - TREBIJA;0;4.819;408;Hotavlje;QLD5;4.022;73;3.392;41;295;70;114;20;17;123;DIST
R1;210;1112;TREBIJA - SOVODENJ;0;5.880;409;Trebija;QLD5;1.350;7;1.163;12;79;33;45;6;5;45;DIST
R1;210;1113;SOVODENJ - CERKNO;0;11.884;;;P;1.100;20;926;10;75;30;30;5;4;31;PLDP
R1;210;1114;CERKNO - ZELIN;0;4.200;102;Cerkno;QLD6;2.675;36;2.335;49;175;22;30;12;16;63;DIST
R1;210;1078;SKOFJA LOKA - JEPRCA;0;5.795;106;Godesic;QLTC8;13.174;80;11.334;72;1.067;189;108;118;206;362;WIM
R1;211;0211;KR (LABORE) - JEPRCA;0;8.150;625;Meja pri Kranju;QLD6;7.375;70;6.506;114;474;53;71;33;54;149;PLDP
R1;211;0212;JEPRCA - MEDVODE;0;3.650;52;Medvode;QLTC10;15.596;122;13.384;182;1.166;243;112;117;270;383;DIST
R1;211;0212;MEDVODE - STANEZICE;3.650;8.000;643;Medno;QLTC8;20.526;152;17.809;253;1.433;262;155;149;313;476;WIM
R1;211;0212;STANEZICE  - LJ( SENTVID);8.000;8.814;;;P;22.000;155;19.050;270;1.480;385;190;150;320;581;PLDP
R1;212;1115;PRIKLJUCEK UNEC-UNEC;0;781;;;P;9.650;80;8.310;40;640;150;100;85;245;303;PLDP
R1;212;1116;UNEC - RAKEK;0;2.160;909;Rakek 2;QLTC10;7.834;80;6.584;37;633;109;71;80;240;221;DIST
R1;212;1117;RAKEK - CERKNICA;0;3.980;245;Rakek;QLTC10;9.038;91;7.683;48;697;122;77;83;237;229;DIST
R1;212;1118;CERKNICA - BL.POLICA;0;10.851;246;Grahovo;QLD*;5.132;48;4.454;30;327;46;62;53;112;126;WIM
R1;212;1119;BL.POLICA - SODRAZICA;0;17.183;247;Nova vas;QLD*;2.709;51;2.308;11;190;22;33;32;62;68;DIST
R1;212;1120;SODRAZICA - ZLEBIC;0;5.770;248;Zamostec;QLD*;2.707;38;2.281;7;202;28;46;46;59;79;DIST
R1;213;1365;BLOSKA POLICA - PUDOB;0;8.200;386;Stari trg;QLD6;3.220;31;2.886;36;141;18;28;30;50;83;PLDP
R1;213;1366;PUDOB - BABNO POLJE;0;10.357;384;MP Babno Polje;QLD5;565;18;496;9;2;10;5;11;14;24;PLDP
R1;214;1156;KOCEVJE - STARI LOG;0;11.670;;;P;1.150;50;943;7;80;15;20;15;20;38;PLDP
R1;214;1157;STARI LOG - DVOR;0;14.405;268;Smuka;QLD6;1.260;50;1.030;6;103;11;19;18;23;40;PLDP
R1;215;1491;PRIKLJ. TREBNJE V - GRM;0;615;;;P;4.600;45;3.890;25;400;90;40;35;75;117;PLDP
R1;215;1490;GRM - TREBNJE;0;2.828;925;Grm;QLTC10;5.305;32;4.672;22;353;63;51;34;78;117;PLDP
R1;215;1506;TREBNJE (ODRGA - KAMNA GORA);0;360;;;P;7.600;45;6.655;25;500;150;50;40;135;175;PLDP
R1;215;1162;TREBNJE - MIRNA;0;6.290;903;Dol pri Trebnjem;QLTC10;7.134;45;6.233;23;559;85;65;34;90;138;WIM
R1;215;1162;MIRNA - MOKRONOG;6.290;14.042;270;Bistrica;QLD*;4.689;35;4.051;19;359;46;75;36;68;120;DIST
R1;215;1163;MOKRONOG - BOSTANJ;0;18.421;448;Jelovec;QLD6;2.592;26;2.166;14;204;29;57;34;62;109;WIM
R1;216;1367;IVANCNA GORICA - KRKA;0;6.805;387;Mrzlo Polje;QLD*;7.345;42;6.588;28;467;48;66;46;60;117;WIM
R1;216;1175;KRKA - ZUZEMBERK;0;13.435;277;Zagradec;QLD6;3.279;38;2.855;22;206;27;43;38;50;87;DIST
R1;216;1158;ZUZEMBERK - DVOR;0;4.270;278;Mackovec pri Dvoru;QLD5;3.284;52;2.799;38;175;75;60;39;46;109;DIST
R1;216;1176;DVOR - SOTESKA;0;5.550;163;Dvor;QLD5;4.508;53;3.903;56;216;69;97;56;58;149;DIST
R1;216;1177;SOTESKA - CRMOSNJICE;0;14.355;279;Podturn;QLD6;3.321;30;2.879;15;249;30;41;36;41;77;DIST
R1;216;1178;CRMOSNJICE - RUCETNA VAS;0;9.600;737;Srednja vas;R 09x4;2.600;35;2.165;15;250;30;45;20;40;72;PLDP
R1;216;1178;RUCETNA VAS - CRNOMELJ;9.600;15.082;280;Lokve;QLD6;6.389;37;5.769;27;377;34;62;34;49;96;WIM
R1;216;1393;CRNOMELJ (MOSA PIJADE-KOCEVJE);0;1.044;;;P;5.600;35;5.108;2;375;15;30;10;25;41;PLDP
