Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.460;180;V Obvoznica;QLTC8;66.380;70;54.315;154;6.313;843;580;647;3.458;3.848;PLDP;;;
AC;A1;0050;LJ (LITIJSKA - MALENCE);3.460;3.979;1018;R Malence (LJvzh-LJjug);QLTC8;43.000;60;34.190;120;4.100;550;390;490;3.100;3.258;PLDP;;;
AC;A1;0119;RAZCEP LJ MALENCE;0;1.136;1020;Razcep Malence-NM;QLTC8;23.580;43;20.077;44;2.313;293;190;162;458;681;PLDP;;;
AC;A1;0019;LJ (MALENCE - DOLENJSKA C.);0;456;2408;Debeli hrib AC;QLTC8;77.500;96;62.654;440;7.050;820;550;960;4.930;5.459;PLDP;;;
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;;;P;67.000;70;53.500;300;6.200;800;480;1.000;4.650;5.138;PLDP;;;
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.943;178;J Obvoznica;QLTC8;70.633;72;56.774;337;6.508;915;422;1.092;4.513;5.142;PLDP;;;
AC;A1;0017;LJ (BARJANSKA  -  VIC);0;2.758;;;P;68.000;90;54.560;360;6.000;900;420;1.070;4.600;5.205;PLDP;;;
AC;A1;0016;LJ (VIC  -  KOZARJE);0;794;2403;Dolgi most AC;QLTC8;77.600;95;62.775;495;7.300;780;430;975;4.750;5.311;PLDP;;;
AC;A1;0051;LJ ( KOZARJE - RAZEP KOZARJE);0;838;1016;R Kozarje (LJjug-KP);QLTC8;39.600;60;29.890;370;3.800;390;190;700;4.200;4.363;PLDP;;;
AC;A1;0051;LJ (RAZEP KOZARJE) - BREZOVICA;838;2.408;2404;Majlond AC;QLTC8;77.700;100;60.910;520;7.000;850;450;1.100;6.770;7.073;PLDP;;;
AC;A1;0052;BREZOVICA - VRHNIKA;0;12.424;854;Drenov Gric AC;QLTC8;65.477;94;48.983;536;7.103;704;343;1.099;6.615;6.878;PLDP;;;
AC;A1;0150;PRIKLJ. VRHNIKA - LJ;0;1.120;858;CP Vrhnika-LJ;Prazno;12.200;40;10.180;90;1.200;170;200;120;200;440;PLDP;;;
AC;A1;0150;PRIKLJ. VRHNIKA - KP;1.120;1.381;859;CP Vrhnika-KP;Prazno;3.723;96;2.737;14;397;106;187;121;65;256;PLDP;;;
AC;A1;0053;VRHNIKA - LOGATEC;0;8.279;1013;Verd AC;QLTC8;57.000;150;41.540;460;6.300;640;330;1.100;6.480;6.694;PLDP;;;
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;CP Logatec;Prazno;9.500;71;7.764;65;800;260;150;120;270;488;PLDP;;;
AC;A1;0054;LOGATEC - UNEC;0;10.422;897;Laze AC;QLTC8;51.687;175;36.453;462;6.032;649;302;1.188;6.426;6.715;PLDP;;;
AC;A1;0152;PRIKLJ. UNEC - LJ;0;404;824;Priklj. Unec-LJ;QLTC8;5.100;13;4.367;25;440;70;35;50;100;171;PLDP;;;
AC;A1;0152;PRIKLJ. UNEC - KP;404;788;825;Priklj. Unec-KP;QLTC8;2.400;10;1.796;10;270;50;32;42;190;219;PLDP;;;
AC;A1;0055;UNEC - POSTOJNA;0;11.375;822;Ravbarkomanda AC;QLTC8;48.987;172;33.882;447;5.862;629;299;1.180;6.516;6.763;PLDP;;;
AC;A1;0153;PRIKLJ. POSTOJNA - LJ;0;900;826;Priklj. Postojna-LJ;QLTC8;10.000;70;8.035;100;1.100;150;115;70;360;499;PLDP;;;
AC;A1;0153;PRIKLJ. POSTOJNA - KP;900;1.178;827;Priklj. Postojna-KP;QLTC8;4.500;20;3.578;35;470;60;32;55;250;298;PLDP;;;
AC;A1;0056;POSTOJNA - RAZDRTO;0;9.581;2105;Studenec AC;QLTC8;43.487;122;29.425;382;5.232;539;216;1.165;6.406;6.562;PLDP;;;
AC;A1;0056;RAZDRTO - NANOS;9.581;11.182;2106;Razdrto AC;QLTC8;44.037;121;29.901;378;5.307;534;231;1.169;6.396;6.558;PLDP;;;
AC;A1;0197;PRIKLJ. RAZDRTO - LJ;0;250;828;Priklj. Razdrto-LJ;QLTC8;1.100;7;804;8;110;30;25;16;100;116;PLDP;;;
AC;A1;0197;PRIKLJ. RAZDRTO - KP;250;698;829;Prikj. Razdrto-KP;QLTC8;1.650;6;1.280;4;185;25;40;20;90;112;PLDP;;;
