Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. (avt.) stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.
AC;A2;0001;MP KARAVANKE-HRUSICA;0;5.361;673;O;QLD-6;;MP Karavanke;6.604;17;5.157;81;370;93;90;796
AC;A2;0002;HRUSICA-LIPCE;0;7.154;;P;;;;12.200;80;10.130;130;770;110;180;800
AC;A2;0003;LIPCE-LESCE;0;6.298;646;O;QLD-6;;Lipce AC;17.691;91;14.909;154;1.264;174;225;874
AC;A2;0103;ZACASNI PRIKLJ. VRBA;0;382;;P;;;;17.700;90;14.915;155;1.265;175;225;875
AC;A2;1498;ZACASNI PRIKLJUCEK LESNICA;0;76;;P;;;;28.480;135;24.320;270;1.850;355;455;1.095
AC;A2;0005;(BREZJE) LESNICA-PODTABOR;0;1.102;;P;;;;28.700;100;24.400;270;2.100;400;430;1.000
AC;A2;0006;PODTABOR-KRANJ Z;0;7.313;647;O;QLD-6;;Naklo AC;34.655;153;29.736;298;2.472;448;460;1.088
AC;A2;0007;KRANJ Z-KRANJ V;0;5.674;;P;;;;25.300;110;21.590;150;1.800;340;360;950
AC;A2;0008;KRANJ V - BRNIK;0;3.900;;P;;;;23.700;35;20.745;130;1.400;250;280;860
AC;A2;0009;BRNIK - VODICE;0;5.246;850;O;QLD-3 BS;;CP Torovo;22.214;63;18.888;170;1.593;250;300;950
AC;A2;0010;VODICE -LJ( SMARTNO);0;6.968;853;O;QLD-6;;Povodje AC;32.963;94;28.644;201;2.363;270;372;1.019
AC;A2;0011;LJ(SMARTNO -  BROD);0;2.374;;P;;;;37.900;120;33.310;220;2.500;330;390;1.030
AC;A2;0012;LJ(BROD-SENTVID);0;879;;P;;;;25.200;90;21.800;200;1.700;250;230;930
AC;A2;0014;LJ(KOSEZE - BRDO);0;1.859;170;O;;;;67.000;244;57.570;242;3.764;1.000;1.250;2.930
AC;A2;0015;LJ BRDO - KOZARJE;0;2.392;855;O;QLD-6;;Bokalce AC;63.970;221;53.815;252;4.898;734;1.108;2.942
AC;A2;0020;LJ(MALENCE)-SMARJE-SAP;0;6.038;645;O;QLD-6;;Smarje Sap AC;46.117;93;39.547;263;3.166;483;568;1.997
AC;A2;0407;PRIKLJ. SMARJE-SAP NM;0;926;876;O;QLD-5;;Prikljucek Smarje Sap_NM;2.281;9;1.991;20;130;65;33;33
AC;A2;0021;SMARJE SAP-CIKAVA;0;1.780;2303;O;QLD-5;;Cikava AC;48.328;97;41.066;283;3.703;501;647;2.031
AC;A2;0021;CIKAVA-GROSUPLJE;1.780;3.873;;P;;;;35.500;60;29.650;200;2.800;400;490;1.900
AC;A2;0022;GROSUPLJE-VISNJA GORA;0;7.050;;P;;;;30.600;50;25.380;190;2.600;350;180;1.850
AC;A2;0022;VISNJA GORA-IVANCNA GORICA;7.050;13.061;601;O;QLD-6;;Visnja Gora AC;31.882;73;26.586;228;2.397;352;455;1.791
AC;A2;0023;IVANCNA GORICA-BIC;0;6.889;870;O;QLD-6;;CP Dob;18.354;28;15.071;257;1.067;178;197;1.556
AC;A2;0072;BIC-PLUSKA (TREBNJE);0;6.909;;P;;;;21.149;35;17.198;293;1.337;262;408;1.616
AC;A2;0024;(TREBNJE) HRASTJE-NM PRIKLJ. Z;0;3.900;;P;;;;19.786;39;16.263;201;1.264;187;290;1.542
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;3.900;6.208;;P;;;;16.750;30;13.820;110;900;110;280;1.500
AC;A2;0025;NM PRIKLJ.V- LESNICA (KRONOVO);0;1.915;;P;;;;19.371;57;15.729;234;1.223;286;444;1.398
AC;A2;0026;KRONOVO - DOBRUSKA VAS;0;4.934;602;O;QLD-6;;Draga AC;17.335;35;14.073;203;1.208;207;217;1.392
AC;A2;0027;DOBRUSKA VAS - SMEDNIK;0;5.900;;P;;;;15.500;30;12.500;210;1.000;220;220;1.320
AC;A2;0027;SMEDNIK - PRIKLJUCEK DRNOVO;5.900;13.500;2301;O;QLD-6;;Zaloke AC;13.266;22;10.632;200;784;164;185;1.279
AC;A2;0027;PRIKLJUCEK DRNOVO - DRNOVO;13.500;13.654;871;O;QLD-6;;CP Drnovo;10.145;17;8.201;186;537;78;70;1.056
AC;A2;0418;PRIKLJ. DRNOVO;0;2.300;873;O;QLD-6;;CP Krsko-NM;3.121;6;2.431;14;247;86;115;222
AC;A2;0418;PRIKLJ. DRNOVO;2.300;2.844;874;O;QLD-6;;CP Krsko-Catez;1.007;3;846;8;51;9;12;78
AC;A2;0028;DRNOVO - BREZICE;0;11.717;2302;O;QLD-6;;Brezice AC;11.151;20;9.046;194;588;87;82;1.134
AC;A2;0029;BREZICE - PRIKLj. OBREZJE;0;7.020;512;O;QLD-6;;Catez AC;12.272;26;10.151;170;680;63;61;1.121
AC;A2;0029;PRIKLJ. OBREZJE-OBREZJE TERMINAL;7.020;7.850;;P;;;;10.400;30;8.552;168;430;60;60;1.100
AC;A2;0029;OBREZJE TERMINAL - MP OBREZJE;7.850;8.534;511;O;QLD-6;;MP Obrezje;8.964;32;7.315;166;339;40;56;1.016
AC;A3;0068;GABRK-SEZANA V;0;7.977;813;O;QLD-3 BS;;CP Dane;10.193;36;6.131;134;582;96;120;3.094
AC;A3;0069;SEZANA V - SEZANA Z;0;2.698;;P;;;;9.900;30;5.895;130;540;90;115;3.100
AC;A3;0070;SEZANA Z - FERNETICI;0;1.270;863;O;QLD-6;;Sezana AC;8.868;31;5.334;117;506;83;105;2.692
AC;A3;0070;FERNETICI-MP FERNETICI;1.270;1.571;653;O;QLD-6;;MP Fernetici;13.296;76;8.902;128;673;116;145;3.256
AC;A3;0486;PRIKLJ. FERNETICI;0;643;864;O;QLD-6;;Prikljucek Fernetici;3.997;43;3.555;11;160;27;35;166
AC;A5;0810;VUCJA VAS-MURSKA SOBOTA;0;6.212;841;O;QLD-6;;Vucja vas AC;6.079;17;2.324;27;316;123;213;3.059
AC;A5;0811;MURSKA SOBOTA-LIPOVCI;0;3.798;;P;;;;7.100;16;3.555;30;249;100;150;3.000
HC;H1;1462;CRNIVEC-LESNICA;0;4.642;50;O;QLD-6;;Lesnica;28.480;134;24.322;272;1.851;354;454;1.093
HC;H1;0220;PLUSKA-TREBNJE;0;3.505;55;O;QLD-5;;Trebnje 2;21.149;35;17.198;293;1.337;262;408;1.616
HC;H1;0221;TREBNJE-KARTELJEVO;0;11.380;634;O;QLD-6;;Trebnje;19.786;39;16.263;201;1.264;187;290;1.542
HC;H1;1472;LESNICA - OTOCEC;0;2.960;400;O;QLD-5;;Otocec;19.371;57;15.729;234;1.223;286;444;1.398
HC;H1;0224;OTOCEC-KRONOVO;0;3.051;;P;;;;17.335;35;14.073;203;1.208;207;217;1.392
HC;H2;0032;PESNICA-MARIBOR;0;4.516;16;O;QLD-6;;Meljska HC;36.023;106;27.304;257;2.246;399;740;4.971
HC;H2;0033;MB(MELJSKA)-POBREZJE;0;1.470;;P;;;;45.400;100;36.440;260;2.300;500;800;5.000
HC;H2;0033;POBREZJE-MB(TEZNO);1.470;2.684;15;O;QLD-6;;Maribor HC;48.874;126;39.108;257;2.756;609;929;5.089
HC;H3;0085;LJ(ZADOBROVA-SMARTINSKA);0;1.511;179;O;QLD-6;;SV Obvoznica;64.052;119;55.877;145;3.928;682;967;2.334
HC;H3;0086;LJ(SMARTINSKA-TOMACEVO);0;2.084;;P;;;;68.000;140;59.200;160;4.200;900;1.100;2.300
HC;H3;0088;LJ(TOMACEVO - DUNAJSKA);0;1.238;;P;;;;70.700;130;62.150;120;4.100;800;950;2.450
HC;H3;0089;LJ (DUNAJSKA - SAVLJE);0;1.180;;P;;;;67.000;120;57.495;135;4.500;1.050;1.100;2.600
HC;H3;0089;LJ (SAVLJE - IND. CONA SISKA);1.180;1.910;174;O;QLD-6;;S Obvoznica;60.398;133;52.243;111;4.016;622;905;2.368
HC;H3;0089;LJ (IND. CONA SISKA - CELOVSKA);1.910;2.654;;P;;;;68.700;120;59.485;115;4.700;750;1.030;2.500
HC;H3;0090;LJ(CELOVSKA - KOSEZE);0;1.900;199;O;QLD-6;;Dravlje HC;68.176;209;58.009;242;4.901;820;1.083;2.912
HC;H4;0374;RAZCEP RAZDRTO;0;440;819;O;QLD-6;;CP Nanos;6.771;14;4.508;60;587;129;208;1.265
HC;H4;0374;PODNANOS - VIPAVA;440;2.756;;P;;;;8.200;39;5.616;55;730;140;270;1.350
HC;H4;1502;ZACASNI PRIKLJ.RAZDRTO;0;113;;P;;;;6.771;14;4.508;60;587;129;208;1.265
HC;H4;1500;ZACASNI PRIKLJ. PODNANOS;0;194;;P;;;;8.200;39;5.616;55;730;140;270;1.350
HC;H4;0375;VIPAVA-AJDOVSCINA;0;6.763;865;O;QLD-6;;Dolga Poljana HC;9.424;30;6.732;36;788;186;280;1.372
