Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP;
G2;107;1275;SMARJE PRI JELSAH - MESTINJE;11.300;14.307;188;Mestinje;QLD5;8.089;48;7.140;49;343;143;171;77;118;277;PLDP;
G2;107;1238;MESTINJE - PODPLAT;0;2.060;756;Podplat 3;QLTC10;8.071;69;6.887;33;581;156;113;74;158;271;PLDP;
G2;107;1276;PODPLAT - TEKACEVO;0;2.450;136;Podplat 2;QLD6;8.242;49;7.187;43;546;92;154;57;114;229;DIST;
G2;107;1276;TEKACEVO  -  KOTEC;2.450;10.600;687;Cerovec;QLD6;3.611;23;3.122;9;222;42;68;66;59;121;DIST;
G2;107;1276;KOTEC - ROGATEC;10.600;12.500;696;Brezovec;QLD6;5.248;35;4.700;35;250;40;60;49;79;131;DIST;
G2;107;1277;ROGATEC;0;2.000; ; ;P;2.500;10;2.085;55;150;40;45;45;70;142;DIST;
G2;107;1277;ROGATEC - MP DOBOVEC;2.000;7.774;337;MP Dobovec;QLD6;1.112;6;927;10;44;9;15;33;68;85;PLDP;
G2;108;1180;CRNUCE - SENTJAKOB;0;3.580;120;Sentjakob;QLD6;8.477;47;7.260;57;764;99;106;54;90;189;DIST;
G2;108;1181;SENTJAKOB - DOLSKO;0;7.000;114;Dol;QLD6;12.493;58;11.285;51;791;81;104;41;82;168;DIST;
G2;108;1181;DOLSKO - RIBCE;7.000;14.870;121;Senozeti;QLD6;8.306;55;7.456;31;506;63;89;30;76;135;DIST;
G2;108;1182;RIBCE - LITIJA;0;13.443;678;Zgornji Log;QLD6;7.778;57;6.964;30;472;62;94;30;69;134;WIM;
G2;108;1183;LITIJA - ZAGORJE;0;14.981;620;Renke;QLD6;4.462;51;3.845;24;323;58;68;22;71;113;DIST;
G2;108;1184;ZAGORJE - TRBOVLJE;0;4.316;122;Trbovlje 4;QLD6;7.318;63;6.524;21;410;62;97;29;112;154;DIST;
G2;108;1185;TRBOVLJE - HRASTNIK;0;5.162;123;Hrastnik;QLD6;7.153;65;6.318;57;407;56;98;35;117;173;DIST;
G2;108;1186;HRASTNIK - ZIDANI MOST;0;8.291;124;Suhadol;QLD3;1.462;23;1.339;0;90;9;1;0;0;3;PLDP;
G2;109;1453;DOLGA VAS - MP DOLGA VAS;0;584;141;MT Dolga vas;QLTC8;4.058;27;1.726;20;251;55;27;284;1.668;1.404;PLDP;
G2;109;0357;LENDAVA - PETISOVCI;0;3.500;89;Lendava 2;R 03x1;2.700;40;2.095;35;300;45;30;35;120;153;PLDP;
G2;109;0357;PETISOVCI - MP PETISOVCI;3.500;4.498;143;MP Petisovci;QLD5;2.562;21;2.118;28;201;23;21;30;120;136;PLDP;
G2;111;1504;KOPER(ZUSTERNA) - RUDA(IZOLA);0;3.295;626;Izola;QLTC8;27.609;333;25.073;148;1.607;169;185;23;71;276;PLDP;
G2;111;0373;RUDA(IZOLA) - BELVEDER;0;4.750;13;Izolska obvoznica;QLTC8;16.236;210;14.883;64;897;91;63;7;21;108;PLDP;
G2;111;0373;BELVEDER - VALETA;4.750;8.255;901;Belveder;QLTC8;21.038;317;19.173;146;1.196;108;71;7;20;162;PLDP;
G2;111;0239;VALETA - LUCIJA;0;1.770; ; ;P;11.100;100;10.067;50;700;110;50;5;18;95;PLDP;
G2;111;0239;LUCIJA -  SECOVLJE;1.770;7.000;10;Seca;QLD6;9.238;45;8.452;31;529;111;46;7;17;83;PLDP;
G2;111;0239;SECOVLJE - MP SECOVLJE;7.000;7.280;500;MP Secovlje;QLD3;4.566;35;4.340;23;150;5;3;7;3;23;PLDP;
G2;112;1254;MP HOLMEC - POLJANA;0;3.881;662;MT Holmec;QLD;1.922;33;1.694;4;99;8;22;28;34;58;PLDP;
G2;112;1255;POLJANA - PREVALJE;0;2.000;432;Prevalje;QLD6;7.747;60;6.937;54;443;52;86;41;74;151;DIST;
G2;112;1255;PREVALJE - RAVNE;2.000;8.047;752;Dobja vas;QLTC8;13.928;95;12.561;86;822;120;120;36;88;220;PLDP;
G2;112;1256;RAVNE - DRAVOGRAD;0;7.008;160;Ravne;QLD6;6.583;47;5.667;69;445;62;126;56;111;209;WIM;
R1;201;0201;MP KORENSKO SEDLO - PODKOREN;0;3.755;659;MT Korensko sedlo;QLD5;1.553;144;1.246;4;142;8;8;0;1;8;PLDP;
R1;201;0202;PODKOREN - KR.GORA;0;2.550; ; ;P;4.200;120;3.640;30;320;60;20;4;6;41;PLDP;
