Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0051;LJ ( KOZARJE - RAZEP KOZARJE);0;838;1016;R Kozarje (LJjug-KP);QLTC8;39.965;63;29.976;374;3.863;395;198;739;4.357;4.537;PLDP
AC;A1;0051;LJ (RAZEP KOZARJE) - BREZOVICA;838;2.408;2404;Majlond AC;QLTC8;79.000;140;61.002;557;7.990;853;448;1.179;6.831;7.231;PLDP
AC;A1;0052;BREZOVICA - VRHNIKA;0;12.424;854;Drenov Gric AC;QLTC8;67.061;89;50.069;548;7.435;707;363;1.135;6.715;7.022;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - LJ;0;1.120;858;CP Vrhnika-LJ;PRAZNO;12.400;50;10.247;77;1.259;190;220;157;200;477;PLDP
AC;A1;0150;PRIKLJ. VRHNIKA - KP;1.120;1.381;859;CP Vrhnika-KP;PRAZNO;4.112;41;3.187;15;400;100;164;110;95;263;PLDP
AC;A1;0053;VRHNIKA - LOGATEC;0;8.279;1013;Verd AC;QLTC8;58.773;80;43.009;486;6.576;617;307;1.088;6.610;6.808;PLDP
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;CP Logatec;PRAZNO;9.700;110;7.805;65;850;260;140;190;280;551;PLDP
AC;A1;0054;LOGATEC - UNEC;0;10.422;897;Laze AC;QLTC8;54.248;150;38.590;476;6.349;645;295;1.252;6.491;6.841;PLDP
AC;A1;0152;PRIKLJ. UNEC - LJ;0;404;824;Priklj. Unec-LJ;QLTC8;5.159;15;4.398;20;465;70;35;46;110;173;PLDP
AC;A1;0152;PRIKLJ. UNEC - KP;404;788;825;Priklj. Unec-KP;QLTC8;2.441;9;1.845;7;288;49;33;40;170;200;PLDP
AC;A1;0055;UNEC - POSTOJNA;0;11.375;822;Ravbarkomanda AC;QLTC8;51.391;144;35.690;460;6.422;601;289;1.239;6.546;6.848;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - LJ;0;900;826;Priklj. Postojna-LJ;QLTC8;10.550;76;8.524;110;1.191;163;90;66;330;477;PLDP
AC;A1;0153;PRIKLJ. POSTOJNA - KP;900;1.178;827;Priklj. Postojna-KP;QLTC8;4.471;15;3.652;25;487;61;35;34;162;206;PLDP
AC;A1;0056;POSTOJNA - RAZDRTO;0;9.581;2105;Studenec AC;QLTC8;45.312;83;30.818;375;5.718;499;234;1.207;6.378;6.577;PLDP
AC;A1;0056;RAZDRTO - NANOS;9.581;11.182;2106;Razdrto AC;QLTC8;45.637;81;31.099;372;5.765;504;238;1.210;6.368;6.572;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - LJ;0;250;828;Priklj. Razdrto-LJ;QLTC8;1.295;9;935;7;145;23;39;20;117;135;PLDP
AC;A1;0197;PRIKLJ. RAZDRTO - KP;250;698;829;Priklj. Razdrto-KP;QLTC8;1.620;7;1.216;4;192;28;43;23;107;131;PLDP
AC;A1;0154;RAZCEP NANOS;0;370;894;Razcep Nanos  - LJ;QLTC8;13.200;32;8.128;85;1.528;220;95;467;2.645;2.652;PLDP
