Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
AC;A2;0011;LJ(SMARTNO -  BROD);0;2.375;852;O;;98x12;SMARTNO AC;28.000;64;26.252;132;498;406;150;498;141
AC;A2;0012;LJ(BROD-SENTVID);0;915;852;P;;;;24.000;54;22.502;112;426;350;130;426;144
AC;A2;0014;LJ(KOSEZE - BRDO);0;1.850;170;O;QLD6;98x12;Z OBVOZNICA;62.114;128;54.644;232;3.936;996;804;1.374;147
AC;A2;0015;LJ(BRDO - KOZARJE);0;2.400;170;P;;;;56.300;124;48.960;210;3.626;1.018;786;1.576;150
AC;A2;0020;LJ(MALENCE)-SMARJE-SAP;0;6.298;645;O;QLD6;98x12;SMARJE SAP AC;36.480;44;31.736;208;2.128;540;492;1.332;153
AC;A2;0021;SMARJE SAP-GROSUPLJE;0;3.869;645;P;;;;38.000;86;32.332;234;2.474;1.150;492;1.232;156
AC;A2;0022;GROSUPLJE-IVANCNA GORICA;0;12.830;601;O;QLD6;97x12;VISNJA GORA AC;25.682;48;22.112;184;1.462;452;272;1.152;160
AC;A2;0023;IVANCNA GORICA-BIC;0;5.778;870;O;QLD6;x;CP DOB;14.775;18;12.392;190;825;234;145;971;164
AC;A2;1500;ZACASNI PRIKLJ. BIC;0;414;870;P;;;;14.775;19;12.426;187;829;257;139;918;166
AC;A3;0068;GABRK-SEZANA V;0;7.050;813;O;QLD3;x;CP DANE;5.555;6;4.643;50;144;111;165;436;167
AC;A3;0069;SEZANA V - SEZANA Z;0;2.692;653;P;;;;7.400;30;5.850;200;518;100;80;622;170
