Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
R2;409;0303;KALCE - PLANINA;0;8.337;736;Grčarevec;QLTC10;1.900;80;1.564;35;140;32;20;15;14;49;PLDP
R2;409;0304;PLANINA - RAVBARKOMANDA;0;7.230;612;Ravbarkomanda;QLD6;2.422;199;1.932;29;159;27;40;17;19;60;PLDP
R2;409;0305;RAVBARKOMANDA - PO(R913);0;3.000;;;P;5.600;200;4.990;30;200;90;50;20;20;81;PLDP
R2;409;0305;PO(R913) - POSTOJNA;3.000;4.360;;;P;11.700;210;10.710;50;420;90;120;40;60;162;PLDP
R2;409;0306;POSTOJNA - RAZDRTO;0;10.980;76;Postojna;QLTC8;5.536;205;4.455;55;336;83;168;43;191;270;WIM
R2;409;0307;RAZDRTO - SENOŽEČE;0;6.530;22;Senožeče;R 08x1;2.950;160;2.285;40;140;80;120;35;90;171;PLDP
R2;409;0308;SENOŽEČE - DIVAČA;0;8.140;77;Divača;QLD6;1.834;157;1.387;23;104;34;61;15;53;153;WIM
R2;409;0309;DIVAČA - MATAVUN;0;1.940;684;Škocjan;QLD6;2.778;210;2.248;39;190;39;32;7;13;53;PLDP
R2;409;0310;MATAVUN - KOZINA;0;7.275;78;Kačiče;R 10x4;1.800;205;1.325;35;140;45;35;5;10;51;PLDP
R2;409;0311;KOZINA  -  KASTELEC;0;8.960;614;Petrinje;QLD5;1.832;204;1.320;31;101;67;66;13;30;86;PLDP
R2;409;0312;KASTELEC - ČRNI KAL;0;3.902;;;P;1.050;230;530;25;100;65;60;10;30;79;PLDP
R2;409;1435;KORTINE  -  RIŽANA;0;1.353;;;P;1.500;230;959;25;220;26;20;5;15;38;PLDP
R2;409;0313;RIŽANA - DEKANI;0;5.910;79;Dekani;QLTC8;3.936;233;3.371;20;256;26;23;1;6;30;PLDP
R2;409;1438;DEKANI - PRIKLJ. SRMIN;0;324;;;P;4.700;235;4.087;40;260;36;28;4;10;47;PLDP
R2;410;1133;BISTRICA - TRŽIČ;0;320;555;Tržič;QLTC10;12.070;93;10.872;59;866;80;46;17;37;98;PLDP
R2;410;1134;TRŽIČ - GOLNIK;0;6.500;556;Senično;QLTC10;2.326;44;2.089;3;161;12;13;3;1;13;PLDP
R2;410;1134;GOLNIK - KOKRICA;6.500;13.671;258;Tenetiše;QLTC10;4.426;59;3.996;25;284;29;24;5;4;34;PLDP
R2;410;1135;KOKRICA - KRANJ;0;2.234;913;Kokrica;QLTC8;11.954;91;10.982;82;675;57;45;5;17;83;PLDP
R2;411;1471;KRANJ Z  -  POLICA;0;733;;;P;13.100;150;11.620;175;650;220;120;45;120;282;PLDP
R2;411;1428;POLICA - NAKLO(MARINŠEK);0;1.960;51;Naklo;QLTC8;8.174;149;7.061;176;601;61;68;15;43;157;PLDP
R2;411;1428;NAKLO(MARINŠEK) - PRIKLJ. NAKLO;1.960;4.420;;;P;5.250;150;4.532;40;370;50;75;8;25;85;PLDP
R2;411;1428;PRIKLJ. NAKLO - PODTABOR;4.420;7.202;708;Podbrezje;QLTC8;3.252;155;2.808;33;208;18;19;4;7;34;WIM
R2;411;1528;PODTABOR - GOBOVCE;0;1.487;;;P;3.100;140;2.675;30;200;17;21;5;12;37;PLDP
R2;411;1429;GOBOVCE - ČRNIVEC;0;5.142;707;Dobro Polje;QLD6;2.893;122;2.490;24;192;17;23;8;17;41;PLDP
R2;412;1454;POLICA - KR(KIDRIČEVA);0;2.035;718;KR Zlato polje;QLTC10;18.796;165;16.485;205;1.333;201;131;71;205;365;PLDP
R2;412;0359;KRANJ(KIDRIČEVA  -  ISKRA);0;1.559;717;KR Sejem;QLTC8;17.863;135;15.892;75;1.158;173;170;62;198;314;PLDP
R2;412;0210;KR(ISKRA - LABORE);0;1.450;716;KR Labore;QLTC10;16.864;135;14.683;290;1.101;207;145;66;237;427;PLDP
R2;413;4704;MEDVODE - ZBILJE;0;1.166;;;P;5.400;70;4.715;40;420;60;65;10;20;80;PLDP
R2;413;1079;ZBILJE - VODICE;0;7.386;228;Valburga;QLD5;4.905;65;4.259;29;376;68;70;15;23;85;PLDP
R2;413;1080;VODICE - MOSTE;0;4.350;229;Žeje;QLTC8;8.755;59;7.121;9;936;169;154;73;234;379;WIM
R2;413;1081;MOSTE - DUPLICA;0;4.120;230;Križ;QLTC10;10.021;93;8.685;33;871;128;70;35;106;201;DIST
R2;414;1349;KAMNIK - TUHINJ;0;15.600;376;Laze;QLTC8;3.023;57;2.582;24;256;40;35;5;24;54;PLDP
R2;414;1349;TUHINJ - LOČICA;15.600;28.318;41;Ločica;QLTC10;1.653;56;1.332;7;177;34;17;7;23;37;PLDP
R2;415;1216;ŽELODNIK - KRTINA;0;1.000;;;P;3.900;40;3.230;40;340;70;45;25;110;138;PLDP
R2;415;1216;KRTINA - MORAVČE;1.000;9.000;304;Krtina;QLTC10;6.528;48;5.823;34;424;63;53;24;59;105;PLDP
R2;415;1216;MORAVČE - DRTIJA;9.000;11.080;;;P;2.200;35;1.835;15;180;45;45;20;25;66;PLDP
R2;415;1217;DRTIJA - TRATA;0;7.080;;;P;2.000;25;1.725;10;130;35;35;15;25;54;PLDP
R2;415;1217;TRATA - IZLAKE;7.080;15.089;305;Kandrše;QLD5;1.174;18;1.005;8;57;18;36;13;19;45;PLDP
R2;416;1346;LITIJA - ŠMARTNO;0;2.791;391;Litija;QLD*;5.375;51;4.779;17;363;43;65;26;31;84;PLDP
R2;416;1347;ŠMARTNO - GRM;0;14.789;375;Črni Potok;QLD5;1.243;33;1.053;5;64;30;50;3;5;38;WIM
R2;416;1425;GRM - RADOHOVA VAS;0;750;;;P;2.300;10;1.611;24;190;140;140;70;115;224;PLDP
R2;416;1348;RADOHOVA VAS - BIČ;0;2.951;;;P;1.430;5;890;20;100;130;110;65;110;199;PLDP
R2;417;1190;ŠMARTNO PRI LITIJI - M.KOSTREVICA;0;1.500;284;Mala Kostrevnica;QLD5;1.028;14;819;2;50;46;75;16;6;61;WIM
R2;417;1190;M. KOSTREVICA - LJUBEŽ V LAZIH;1.500;8.339;;;P;900;10;778;2;60;30;20;0;0;17;PLDP
R2;417;1187;LJUBEŽ V LAZIH - MORAVČE;0;6.310;282;Moravče;R 11x4;880;10;778;2;60;20;10;0;0;10;PLDP
R2;417;4326;MORAVČE - TIHABOJ-MIRNA;0;11.922;182;Tihaboj;R 11x4;550;10;468;2;45;15;10;0;0;9;PLDP
R2;418;1199;MOKRONOG - ZBURE;0;10.475;407;Zbure;QLD6;1.327;15;1.153;15;69;16;32;11;16;42;PLDP
R2;418;1200;ZBURE - ŠKOCJAN;0;3.940;291;Škocjan 1;R 07x1;2.350;20;1.980;30;170;55;55;15;25;76;PLDP
R2;418;1201;ŠKOCJAN - DOBRUŠKA VAS;0;3.281;416;Dobruška vas;QLD5;3.831;29;3.374;33;185;63;104;15;28;106;PLDP
R2;418;1202;DOBRUŠKA V. - ŠENTJERNEJ;0;5.704;293;Drama;QLD5;2.907;17;2.528;12;161;60;77;24;28;88;PLDP
R2;419;1203;SOTESKA - STRAŽA;0;5.440;920;Dolenje Polje;QLD6;3.534;47;3.063;24;208;30;53;58;51;111;PLDP
R2;419;1203;STRAŽA - NM DRSKA;5.440;12.230;294;Potok;QLD*;5.694;40;5.211;45;290;29;37;19;23;70;WIM
R2;419;1203;NM DRSKA - NM ŽABJA VAS;12.230;14.471;;;P;15.800;60;14.825;50;600;60;80;85;40;151;PLDP
R2;419;1204;NOVO MESTO - RATEŽ;0;6.160;476;Ratež;QLTC10;4.523;43;3.983;53;282;49;59;27;27;96;PLDP
R2;419;1204;RATEŽ - ŠENTJERNEJ;6.160;15.626;295;Mokro Polje;QLD6;2.887;35;2.597;33;129;25;39;14;15;57;DIST
R2;419;1205;ŠENTJERNEJ - KOSTANJEVICA;0;7.000;683;Šentjernej;QLD*;4.051;41;3.635;42;226;31;39;19;18;67;DIST
R2;419;1205;KOSTANJEVICA - KRIŽAJ;7.000;10.203;296;Malo Mraševo 2;QLD6;3.077;47;2.681;36;194;29;54;17;19;71;DIST
R2;419;1206;KRIŽAJ - ČATEŽ OB SAVI;0;12.868;297;Župeča vas;QLD*;2.894;36;2.539;33;194;25;38;12;17;56;DIST
R2;420;1335;BREŽICE - DOBOVA;0;4.500;368;Mostec;QLD6;4.027;32;3.666;16;236;24;33;7;13;41;PLDP
R2;420;1335;DOBOVA - M.P. RIGONCE;4.500;6.813;676;MP Rigonce;QLTC10;1.270;16;1.163;8;70;9;2;1;1;7;PLDP
R2;421;2506;RUČETNA VAS - ŠTREKLJEVEC;0;7.209;460;Semič;QLD6;2.893;16;2.551;25;184;21;53;19;24;68;PLDP
R2;421;2507;ŠTREKLJEVEC - JUGORJE;0;5.890;469;Osojnik;QLD5;1.350;10;1.159;14;63;31;44;16;13;52;PLDP
R2;422;1333;PODSREDA - SENOVO;0;7.000;365;Veliki Kamen;QLD5;1.353;17;1.170;12;62;26;42;11;13;46;WIM
R2;422;1333;SENOVO - BRESTANICA;7.000;16.154;364;Senovo;QLD*;5.490;30;5.018;28;285;36;44;22;27;72;DIST
R2;423;1226;ŠENTJUR - ČRNOLICA;0;2.330;757;Črnolica;QLD*;7.825;61;7.081;31;423;72;89;21;47;115;PLDP
R2;423;1281;ČRNOLICA - LESIČNO;0;18.149;271;Jelce;QLD5;1.213;15;1.050;14;75;20;28;2;9;31;PLDP
R2;423;1282;LESIČNO - ŠONOVO;0;3.300;292;Šonovo;R 10x4;1.370;15;1.207;13;65;35;25;5;5;31;PLDP
R2;423;1282;ŠONOVO - PODSREDA;3.300;10.020;333;Kozje;QLD5;1.342;15;1.131;18;96;37;29;6;10;40;PLDP
R2;423;1283;PODSREDA - BISTRICA;0;6.720;335;Podsreda 2;R 09x4;950;10;800;10;60;35;15;15;5;31;PLDP
R2;423;1243;BISTRICA OB SOTLI - MP BISTRICA;0;1.050;411;MP Bistrica ob Sotli;QLD*;511;7;420;2;22;6;9;19;26;35;PLDP
R2;424;1166;BOŠTANJ - OREŠJE/SEVNICI;0;5.700;;;P;1.800;10;1.615;10;80;40;30;5;10;37;PLDP
R2;424;1166;OREŠJE/SEVNICI - PLANINA;5.700;21.006;186;Podgorje;QLD5;605;7;495;8;45;15;27;3;5;25;PLDP
R2;424;1170;PLANINA - DEŽNO;0;1.115;;;P;460;5;372;5;35;10;20;5;8;22;PLDP
R2;424;1225;DEŽNO - ČRNOLICA;0;11.800;313;Dobje;QLD*;2.438;14;2.147;10;161;22;44;9;31;56;PLDP
R2;425;1265;POLJANA - MEŽICA;0;3.310;323;Poljana;QLD;5.303;33;4.631;48;344;63;86;20;78;104;WIM
R2;425;1265;MEŽICA - ČRNA;3.310;11.420;579;Mežica;QLD*;3.412;28;2.911;43;250;28;55;23;74;112;PLDP
R2;425;1265;ČRNA - ŠENTVID;11.420;23.786;434;Javorje;QLD5;389;16;324;1;23;4;15;4;2;12;PLDP
R2;425;1266;ŠENTVID - ŠOŠTANJ;0;16.605;324;Šentvid;R 11x4;1.550;30;1.382;15;80;25;15;3;0;21;PLDP
R2;425;1267;ŠOŠTANJ - PESJE;0;1.835;167;Šoštanj;QLTC10;11.482;85;10.337;53;693;104;123;22;65;159;PLDP
R2;425;1419;PESJE - VELENJE;0;3.790;166;Pesje;QLTC10;11.576;94;10.283;99;691;158;93;58;100;219;PLDP
R2;426;1269;PESJE - GORENJE;0;6.100;168;Lokovica;QLTC10;6.463;76;5.747;30;368;76;51;42;73;125;PLDP
R2;426;7949;GORENJE  -  REČICA;0;4.220;35;Paška vas;QLD*;4.077;44;3.644;24;235;36;40;16;38;71;PLDP
