Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
G1;4;1257;DRAVOGRAD-OTIŠKI VRH;0;1.370;131;P; ; ; ;12.000;60;10.666;110;511;300;166;187
G1;4;1258;OTIŠKI VRH-SL.GRADEC;0;9.170;131;O;QLD6; ;BUKOVSKA VAS;9.392;46;8.143;94;471;184;202;252
G1;4;1445;SL.GRADEC;0;1.910;131;P; ; ; ;9.800;81;8.546;123;500;200;150;200
G1;4;1259;SL.GRADEC-LUŽNIK;0;6.600;329;O;;x;ŠMARTNO SG;11.051;40;9.807;108;546;212;154;184
G1;4;1259;LUŽNIK-ZG.DOLIČ;6.600;12.985;621;O;QLD6; ;MISLINJA;7.742;44;6.627;82;439;200;134;216
G1;4;1260;ZG.DOLIČ-VELENJE;0;11.375;621;P; ; ; ;7.000;25;5.835;87;513;250;104;186
G1;4;1261;VELENJE-ČRNOVA;0;7.350;132;O;QLD6; ;ČRNOVA;15.296;46;13.368;108;844;310;248;372
G1;4;1262;ČRNOVA-ARJA VAS;0;7.020;133;O;QLD6;03x1;VELIKA PIREŠICA;11.852;38;9.776;94;692;410;418;424
G1;4;1448;ARJA VAS-ŽALEC;0;1.820;70;O;;98x4;ŽALEC;5.000;20;4.180;70;350;200;80;100
G1;5;1469;ARJA VAS;0;2.490;130;O;;98x4;ARJA VAS 2;5.700;21;5.229;40;270;80;35;25
G1;5;0286;ARJA VAS- CELJE;0;6.560;69;O;QLD6;03x1;DREŠINJA VAS;17.247;62;15.717;180;690;312;160;126
G1;5;0328;CELJE-CE(POLULE);0;2.000;90;P; ; ; ;17.000;47;15.159;80;718;386;210;400
G1;5;0328;CE(POLULE)-LAŠKO;2.000;11.000;90;O;QLD6;03x1;KOŠNICA;12.338;44;10.843;56;588;228;202;377
G1;5;0328;LAŠKO-ŠMARJETA;11.000;17.325;90;P; ; ; ;9.000;30;7.986;42;389;185;101;267
G1;5;0329;ŠMARJETA-RIMSKE TOPLICE;0;1.050;91;O;QLD6; ;RIMSKE TOPLICE;6.131;26;5.235;46;342;148;118;216
G1;5;0330;RIM.TOPLICE-ZIDANI MOST;0;6.750;91;P; ; ; ;5.500;25;4.742;39;267;149;94;184
G1;5;0331;ZIDANI MOST-RADEČE;0;2.997;92;O;;99x1;RADEČE;5.300;20;4.426;29;395;145;95;190
G1;5;0360;RADEČE;0;520;92;P; ; ; ;5.350;20;4.477;29;399;140;95;190
G1;5;0332;RADEČE-BOŠTANJ;0;11.270;101;O;QLD3; ;VRHOVO;4.629;20;3.799;25;345;140;100;200
G1;5;0333;BOŠTANJ;0;790;92;P; ; ; ;4.650;20;3.892;25;277;135;101;200
G1;5;0334;BOŠTANJ-IMPOLJCA;0;4.490;630;P; ; ; ;4.300;20;3.568;24;256;132;100;200
G1;5;0335;IMPOLJCA-BRESTANICA;0;9.790;630;O;QLD6; ;LOG PRI SEVNICI;4.460;22;3.691;24;275;132;120;196
G1;5;0361;BRESTANICA-KRŠKO;0;3.900;103;O;QLD6; ;KRŠKO;8.971;31;7.593;64;433;257;257;336
G1;5;0336;KRŠKO-DRNOVO;0;4.630;95;O;QLD6; ;ŽADOVINEK;10.228;36;8.691;46;527;318;208;402
G1;5;0337;DRNOVO;0;540;95;P; ; ; ;10.200;37;8.698;45;500;320;200;400
G1;6;0338;POSTOJNA-PIVKA;0;10.260;82;O;QLD6;03x1;PRESTRANEK;10.632;86;9.511;82;469;162;96;226
G1;6;0339;PIVKA-RIBNICA;0;9.945;615;O;QLD6;03x1;RIBNICA;3.628;54;3.053;40;223;52;44;162
G1;6;0340;RIBNICA-PREM;0;4.215;615;P; ; ; ;4.000;43;3.393;43;191;80;50;200
G1;6;0341;PREM-IL.BISTRICA;0;6.210;615;P; ; ; ;4.500;49;3.842;48;215;90;56;200
G1;6;0342;IL.BISTRICA;0;1.160;83;P; ; ; ;6.500;30;5.875;66;227;93;34;175
G1;6;0363;IL.BISTRICA;0;1.470;83;P; ; ; ;11.000;29;10.378;68;226;92;33;174
G1;6;0343;IL.BISTRICA-JELŠANE;0;8.500;83;O;QLD6;03x1;KOSEZE;7.208;76;6.516;66;316;86;52;96
G1;6;0343;JELŠANE - MP JELŠANE;8.500;10.000;504;O;QLD3; ;MP JELŠANE;4.083;35;3.533;45;250;80;50;90
G1;7;0356;MP STAROD-PODGRAD;0;6.500;503;O;QLD3; ;MP STAROD;4.092;57;3.668;21;53;73;16;204
