Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.;
RT;913;6105;POSTOJNA-MOTEL ERAZEM;0;6.130;701;O;;01x1;Zagon;1.450;21;1.356;15;41;10;2;5;
RT;913;6101;ERAZEM-VRHI;0;865;701;P; ; ; ;300;6;276;4;8;2;0;4;
RT;913;6110;VRHI-BUKOVJE;0;1.940;701;P; ; ; ;200;4;184;3;5;2;0;2;
RT;913;6109;BUKOVJE-PREDJAMA;0;1.716;701;P; ; ; ;150;3;138;3;4;1;0;1;
RT;914;1372;POSTOJNA-RAKOV.ŠKOC.;0;4.081;392;P; ; ; ;2.000;21;1.726;44;119;68;12;10;
RT;914;2402;RAKOV ŠKOCJAN-PODSKRAJNIK;0;7.085;152;O;;00x1;Zelše;250;0;227;13;9;0;1;0;
RT;915;1376;IL.BISTRICA-GRDA DRAGA;0;21.260;226;P; ; ; ;40;1;37;0;1;1;0;0;
RT;915;2427;GRDA DRAGA- PUDOB;0;28.100;498;O;;04x1;Kozarišče;16;1;14;0;0;0;0;1;
RT;916;3653;DRAGARJI-MEDVEDJEK-DRAGA;0;17.209;468;P; ; ; ;30;1;26;1;2;0;0;0;
RT;917;3602;KOČEVJE-ŽELJNE;0;2.923;466;P; ; ; ;820;2;765;2;30;10;10;1;
RT;917;3621;ŽELJNE-ROG-BAZA-PODTURN;0;28.884;467;O;;00x1;Željne;50;1;46;0;2;0;1;0;
RT;918;3652;KOT-GRGELJ;0;12.314;468;P; ; ; ;50;1;44;1;4;0;0;0;
RT;918;3617;GRGELJ-FARA;0;11.100;468;P; ; ; ;50;1;44;1;4;0;0;0;
RT;919;1341;PODZEMELJ-DOLENJCI;0;9.450;372;O;;00x1;Krasinec;520;5;471;8;22;12;0;2;
RT;919;1466;ŽUNIČI-VINICA;0;10.340;373;O;;00x1;Vinica 1;500;9;432;5;36;7;11;0;
RT;919;1343;VINICA-STARI TRG;0;20.220;374;O;;99x1;Vinica 2;200;1;176;12;10;1;0;0;
RT;920;5899;VAHTA-GABRJE;0;22.745;467;P; ; ; ;30;1;27;0;1;0;1;0;
RT;921;4306;KANDRŠE-VAČE-SP.HOTIČ;0;7.616;181;O;;01x1;Vače;970;8;875;10;43;18;14;2;
RT;922;1455;GRAD-KRVAVEC;0;2.433;496;O;;01x4;Cerklje;1.300;7;1.236;7;26;13;9;2;
RT;923;1087;STAHOVICA-KAM.BISTRICA;0;8.210;234;P; ; ; ;100;1;92;1;2;3;1;0;
RT;924;3559;PODLOM-KR.RAK;0;4.540;169;O;;04x1;Kališe;193;4;176;0;9;1;3;0;
RT;924;3559;KR.RAK-LUČE;4.540;15.971;477;P; ; ; ;150;2;137;0;7;4;0;0;
RT;926;5501;SOLČAVA-PODOLŠEVA-SLEME;0;10.425;477;P; ; ; ;40;0;36;1;1;1;1;0;
RT;926;6519;SLEME-KOPRIVNA;0;5.917;477;P; ; ; ;50;0;44;1;2;1;2;0;
RT;926;6506;KOPRIVNA-ČRNA;0;7.980;477;O;;01x1;Pristava;900;6;796;13;27;23;27;8;
RT;927;5502;ŽIBOVT-SV.DUH-PODOLŠEVA;0;10.345;477;P; ; ; ;40;0;36;1;1;1;1;0;
RT;928;1253;MOZIRJE-GOLTE;0;4.350;211;P; ; ; ;520;26;479;4;4;4;3;0;
RT;929;1332;HOČE-POHORSKA VZPENJAČA;0;16.575;495;O;;02x4;Hočko Pohorje;1.200;13;1.085;25;56;11;9;1;
RT;929;1409;ODCEP ZA AREH;0;4.950;495;P; ; ; ;510;4;469;10;15;7;5;0;
RT;929;7070;AREH-LUKANJA;0;20.920;477;P; ; ; ;40;0;34;0;2;2;2;0;
RT;930;7065;PESEK-OPLOTNICA;0;18.820;477;P; ; ; ;150;0;133;3;4;4;4;2;
RT;931;1354;RIBNICA-RIBNIŠKA KOČA;0;9.710;378;P; ; ; ;120;0;114;2;2;1;1;0;
RT;932;6924;SL.GRADEC-SPOLE;0;4.500;327;P; ; ; ;1.260;3;1.223;4;19;11;0;0;
RT;932;6924;SPOLE-PUNGART;4.500;15.352;327;P; ; ; ;220;0;215;0;3;2;0;0;
RT;933;1193;BREG - LISCA;0;4.650;454;O;;01x1;Breg 1;600;9;559;2;23;6;1;0;
RT;933;1193;LISCA-JURKLOŠTER;4.650;12.186;287;O;;01x1;Jurklošter;160;4;144;4;7;1;0;0;
RT;934;6838;SEŽANA-LIPICA;0;3.494;57;O;;00x1;Lokev 1;2.000;14;1.830;18;83;51;2;2;
RT;934;6840;LIPICA-LOKEV;0;4.139;75;O;;00x1;Lokev 2;650;0;579;2;40;28;0;1;
RT;935;9042;FRAM-CESTNIK-AREH;0;13.900;495;P; ; ; ;50;0;48;1;1;0;0;0;
RT;936;1063;COL-PREDMEJA;0;14.523;223;O;;04x1;Malo Polje;604;0;569;3;27;3;2;0;
RT;937;8710;BRESTRNICA-GAJ-SV. JURIJ;0;14.162;486;P; ; ; ;50;0;47;0;1;2;0;0;
RT;938;2503;ČERMOŠNJICE-KOMARNA V.-GRIČICE;0;6.317;498;P; ; ; ;50;3;44;0;2;1;0;0;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Legenda;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Kat. ceste;;;Kategorija ceste;;;;;;;Leto roč.(avt.) štetja;Leto zadnjega ročnega oz. avtomatskega štetja;;;;;;;;
Štev. ceste;;;Oznaka ceste;;;;;;;Ime števnega mesta;Ime števnega mesta;;;;;;;;
Štev. odseka;;;Oznaka odseka ceste;;;;;;;Vsa vozila (PLDP);PLDP - Povprečni letni dnevni promet vseh motornih vozil;;;;;;;;
Prometni odsek;;;Opis poteka prometnega odseka;;;;;;;Motorji;MO - Motorji;;;;;;;;
Stac. začetka;;;Stacionaža začetka prometnega odseka;;;;;;;Osebna vozila;OA - Osebna vozila;;;;;;;;
Stac. konca;;;Stacionaža konca prometnega odseka;;;;;;;Avtobusi;BUS - Avtobusi;;;;;;;;
Števno mesto;;;Oznaka števnega mesta;;;;;;;Lahka tov. < 3t;LT - Lahki tovorni promet do 3t;;;;;;;;
Tip pr. odseka;;;O - Osnovni prometni odsek (na prometnem odseku se izvaja štetje);;;;;;;Sr. tov.  3-7t;ST - Srednje težki tovornjaki 3-7t;;;;;;;;
;;;P - Privzeti promet (na prometnem odseku se ne izvaja štetje promet je ocenjen);;;;;;;Tež. tov. nad 7t;TT - Težki tovornjaki nad 7t;;;;;;;;
Tip avt. števca;;;QLD-3  Števec QLD-3 loči osebna in tovorna vozila;;;;;;;Tov. s prik.;TP - Tovorni s prikolico;;;;;;;;
;;;QLD-3_selitev  Štetje prometa vsak drugi mesec s števcem QLD3;;;;;;;;;;;;;;;;
;;;QLD-6  Števec QLD-6 loči 10 kategorij vozil;;;;;;;;;;;;;;;;
;;;SBH  Števec zaznava skupno število vozil;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
