Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
R1;206;1027;KRANJSKA GORA - ERIKA;0;3.372;220;Erika;QLD3;659;51;546;8;34;12;6;2;0;100.033;PLDP
R1;206;1043;RUSKA CESTA (ERIKA - VRŠIČ);0;9.085;;;P;400;55;294;4;30;10;6;1;0;72.910;PLDP
R1;206;1028;VRŠIČ - TRENTA;0;8.960;197;Vršič;QLD5;404;97;265;2;29;4;6;0;1;52.505;PLDP
R1;206;1029;TRENTA - BOVEC;0;22.242;198;Koritnica;QLD5;1.163;107;909;6;103;17;19;1;1;166.224;PLDP
R1;207;1057;GODOVIČ - ČRNI VRH;0;6.871;105;Godovič;QLD6;1.735;36;1.458;12;118;26;37;26;22;585.269;PLDP
R1;207;1058;ČRNI VRH - COL;0;9.602;;;P;1.400;25;1.153;10;100;25;40;25;22;583.527;PLDP
R1;207;1413;COL - AJDOVŠČINA;0;8.696;427;Budanje;QLD6;2.722;48;2.373;7;151;41;46;30;26;688.537;PLDP
R1;208;1434;ČRNI KAL - KORTINE;0;2.236;748;Črni Kal;QLD6;3.194;195;2.731;21;180;26;32;3;6;355.839;PLDP
R1;208;1059;KORTINE - GRAČIŠČE;0;8.555;2;Kubed;QLD6;2.642;57;2.392;10;136;22;19;2;4;217.983;PLDP
R1;208;1060;GRAČIŠČE - SOČERGA;0;5.000;151;Gračišče;R 08x1;2.450;60;2.237;25;95;15;15;1;2;228.932;PLDP
R1;208;1060;SOČERGA - MP  SOČERGA;5.000;8.453;502;MP Sočerga;PRAZNO;1.930;2;1.857;4;50;10;5;0;2;74.154;PLDP
R1;208;1149;RIŽANA - KORTINE;0;1.950;771;Kortine;R 10x4;1.820;25;1.643;18;60;45;20;2;7;321.251;PLDP
R1;209;1088;LESCE - BLED;0;3.604;109;Bled;QLTC8;19.852;210;18.003;194;1.166;122;99;25;33;1.917.054;PLDP
R1;209;1089;BLED - PRISTAVA;0;2.200;190;Bled jezero;QLD5;7.130;147;6.309;106;353;85;84;12;34;1.321.831;PLDP
R1;209;1089;PRISTAVA - SOTESKA;2.200;10.530;110;Bohinjska Bela;QLD6;4.112;88;3.555;49;303;39;41;18;19;719.144;PLDP
R1;209;1090;SOTESKA - BITNJE;0;8.510;;;P;3.850;70;3.440;50;190;35;40;10;15;635.783;PLDP
R1;209;1091;BITNJE - BOH.BISTRICA;0;1.340;;;P;3.350;55;3.007;60;160;30;20;7;11;525.050;PLDP
R1;209;1092;BOH.BISTRICA - JEZERO;0;6.200;255;Ribčev Laz;QLD;2.788;26;2.511;66;147;15;11;3;9;438.454;PLDP
R1;210;1105;MP ZG.JEZERSKO - ZG.JEZERSKO;0;6.850;661;MT Jezersko;QLD3;244;14;200;2;13;8;6;1;0;60.468;PLDP
R1;210;1105;ZG.JEZERSKO - SP.JEZERSKO;6.850;10.345;;;P;850;25;782;10;15;10;5;1;2;105.756;PLDP
R1;210;1106;SP. JEZERSKO - PREDDVOR;0;15.585;242;Kokra;QLD5;1.114;73;954;12;16;22;31;2;4;286.165;PLDP
R1;210;1107;PREDDVOR - KR(PRIMSKOVO);0;8.440;249;Visoko;QLD;5.522;36;5.041;38;307;34;38;14;14;591.739;PLDP
R1;210;1108;KR(PRIMSKOVO - LABORE);0;2.600;244;KR Primskovo 2;QLTC8;19.150;88;17.255;29;1.259;175;119;75;150;2.463.006;PLDP
R1;210;1109;KRANJ - ŠKOFJA LOKA;0;7.770;111;Dorfarje;QLD6;13.378;101;11.752;86;900;155;166;84;134;2.992.535;DIST
R1;210;1077;ŠKOFJA LOKA;0;930;107;Škofja Loka;QLTC8;24.296;157;21.820;224;1.515;243;200;76;61;3.278.948;PLDP
R1;210;1110;ŠK.LOKA - GORENJA VAS;0;16.372;112;Zminec;QLD6;7.183;69;6.407;40;452;69;98;25;23;1.092.900;PLDP
R1;210;1111;GORENJA VAS - TREBIJA;0;4.877;408;Hotavlje;QLTC10;3.928;93;3.355;36;315;67;39;12;11;622.843;PLDP
R1;210;1112;TREBIJA - SOVODENJ;0;5.880;409;Trebija;QLD3;1.359;24;1.178;7;78;24;33;7;8;334.937;PLDP
R1;210;1113;SOVODENJ - CERKNO;0;11.884;;;P;1.100;20;940;5;65;30;25;7;8;298.607;PLDP
R1;210;1114;CERKNO - ŽELIN;0;4.200;102;Cerkno;QLD3;2.738;18;2.405;55;166;46;26;8;14;590.494;PLDP
R1;210;1078;ŠKOFJA LOKA - JEPRCA;0;6.170;106;Godešič;QLD6;13.137;77;11.424;81;918;123;200;142;172;3.420.836;WIM
R1;211;0211;KR(LABORE) - JEPRCA;0;8.150;625;Meja pri Kranju;QLD6;7.698;69;6.831;120;453;77;69;29;50;1.570.670;DIST
R1;211;0212;JEPRCA - MEDVODE;0;3.650;52;Medvode;QLTC10;16.113;123;13.865;178;1.189;264;132;108;254;4.187.458;PLDP
R1;211;0212;MEDVODE - STANEŽIČE;3.650;8.000;643;Medno;QLTC8;22.570;158;19.738;241;1.519;304;166;142;302;4.370.007;WIM
R1;211;0212;STANEŽIČE - LJ( ŠENTVID);8.000;8.814;;;P;24.000;140;21.130;240;1.350;500;190;145;305;5.755.640;PLDP
R1;212;1115;PRIKLJUČEK UNEC - UNEC;0;781;;;P;9.200;60;8.005;30;570;155;115;105;160;2.656.354;PLDP
R1;212;1116;UNEC - RAKEK;0;2.160;;;P;9.100;55;7.930;55;550;140;110;100;160;2.676.261;PLDP
R1;212;1117;RAKEK - CERKNICA;0;3.980;245;Rakek;QLD6;8.904;82;7.754;57;527;99;119;102;164;2.832.780;DIST
R1;212;1118;CERKNICA - BL.POLICA;0;10.851;246;Grahovo;QLD6;5.101;51;4.419;31;308;56;78;64;94;1.583.411;WIM
R1;212;1119;BL.POLICA - SODRAŽICA;0;17.183;247;Nova vas;QLD6;2.803;56;2.378;13;186;31;41;42;56;997.346;DIST
R1;212;1120;SODRAŽICA - ŽLEBIČ;0;5.770;248;Zamostec;QLTC10;2.441;2;2.065;8;197;46;35;28;60;847.047;PLDP
R1;213;1365;BLOŠKA POLICA - PUDOB;0;8.200;386;Stari trg;QLD6;3.308;37;2.988;38;123;24;34;31;33;775.879;PLDP
R1;213;1366;PUDOB - BABNO POLJE;0;10.357;384;MP Babno Polje;QLD5;512;13;461;10;2;6;4;6;10;173.689;PLDP
R1;214;1156;KOČEVJE - STARI LOG;0;11.670;;;P;1.000;45;805;5;70;20;25;15;15;372.014;PLDP
R1;214;1157;STARI LOG - DVOR;0;14.405;268;Smuka;QLD;1.238;48;1.013;6;91;18;23;21;18;413.893;PLDP
R1;215;1456;TREBNJE ;0;1.450;;;P;12.200;80;11.055;50;600;180;110;40;85;1.894.907;PLDP
R1;215;1162;TREBNJE - MIRNA;0;6.290;903;Dol pri Trebnjem;QLTC10;5.969;76;5.156;20;457;83;62;33;82;1.297.694;PLDP
R1;215;1162;MIRNA - MOKRONOG;6.290;14.200;270;Bistrica;QLD6;4.589;34;3.979;19;315;50;85;39;68;1.268.580;PLDP
R1;215;1163;MOKRONOG - BOŠTANJ;0;18.421;448;Jelovec;QLD6;2.515;33;2.066;9;195;41;73;38;60;1.092.651;PLDP
R1;216;1367;IVANČNA GORICA - KRKA;0;6.850;387;Mrzlo Polje;QLD6;6.709;36;6.024;30;395;58;72;43;51;1.185.468;PLDP
R1;216;1175;KRKA - ŽUŽEMBERK;0;13.435;277;Zagradec;QLD6;2.823;33;2.464;18;167;28;38;35;40;787.575;PLDP
R1;216;1158;ŽUŽEMBERK - DVOR;0;4.270;278;Mačkovec pri Dvoru;QLD5;3.055;46;2.605;35;163;69;56;36;45;1.068.016;PLDP
R1;216;1176;DVOR - SOTESKA;0;5.550;163;Dvor;QLD5;4.267;49;3.696;47;205;66;94;55;55;1.482.332;PLDP
R1;216;1177;SOTESKA - ČRMOŠNJICE;0;14.355;279;Podturn;QLD6;3.179;33;2.768;13;213;32;39;42;39;816.689;PLDP
R1;216;1178;ČRMOŠNJICE - RUČETNA VAS;0;9.600;737;Srednja vas;R 09x4;2.700;30;2.270;15;220;35;50;40;40;879.645;PLDP
R1;216;1178;RUČETNA VAS - ČRNOMELJ;9.600;15.306;280;Lokve;QLD6;6.219;36;5.621;20;350;48;62;39;43;998.839;PLDP
R1;217;1208;LIVOLD - BREZOVICA;0;16.230;466;Rajndol;QLD5;624;6;538;3;32;21;14;4;6;186.380;PLDP
R1;217;1209;BREZOVICA - DOBLIČE;0;17.000;299;Brezovica pri Predgradu;R 09x1;60;5;42;2;10;1;0;0;0;10.451;PLDP
R1;217;1209;DOBLIČE - KANIŽARICA;17.000;19.930;300;Blatnik;QLD3;1.455;1;1.358;5;70;9;7;4;1;105.010;PLDP
R1;218;1211;METLIKA - PODZEMELJ;0;5.460;450;Podzemelj 3;R 09x4;3.700;35;3.380;25;140;65;20;15;20;552.422;PLDP
R1;218;1212;PODZEMELJ - ČRNOMELJ;0;8.950;302;Podzemelj;QLD;3.452;32;3.117;17;176;30;43;16;21;575.813;PLDP
R1;218;1152;ČRNOMELJ ;0;730;;;P;11.000;45;10.250;40;400;155;55;30;25;1.093.646;PLDP
R1;218;1213;ČRNOMELJ - KANIŽARICA;0;2.215;308;Kanižarica;QLD6;6.457;38;5.915;26;321;53;60;19;25;787.823;PLDP
R1;218;1214;KANIŽARICA - VINICA;0;15.535;303;Dragatuš;QLD5;2.769;27;2.483;26;120;50;50;6;7;539.234;PLDP
R1;218;1153;VINICA;0;160;;;P;2.000;25;1.780;35;115;25;15;3;2;303.583;PLDP
R1;218;1215;VINICA - MOST ČEZ KOLPO;0;850;154;MP Vinica;QLD3;1.017;19;956;2;35;1;2;2;0;32.847;PLDP
R1;219;1236;SL.BISTRICA - POLJČANE;0;8.496;125;Zg.Brežnica;QLD5;5.488;41;4.620;28;372;106;151;68;102;2.138.520;PLDP
R1;219;1410;POLJČANE ;0;700;;;P;6.320;40;5.425;35;300;190;180;60;90;2.355.259;PLDP
R1;219;1237;POLJČANE - PODPLAT;0;9.189;126;Podplat;QLD6;4.440;35;3.738;17;302;72;129;63;84;1.771.732;PLDP
